$DATA1 SOURCE='HSPICE' VERSION='F-2011.09 32-BIT'
$OPTION MEASFORM=3
.TITLE '$standard cell gate characterization'
delay_nand,delay_nor,delay_inv,risetime,temper,alter#
2.7247688e-11, 3.9162028e-11, 2.0722928e-11, 2.8000000e-10,  25.00000000,57
2.7328578e-11, 3.9257078e-11, 2.0724089e-11, 2.8500000e-10,  25.00000000,58
2.7431163e-11, 3.9329546e-11, 2.0713596e-11, 2.9000000e-10,  25.00000000,59
2.7530964e-11, 3.9410766e-11, 2.0703580e-11, 2.9500000e-10,  25.00000000,60
2.7607124e-11, 3.9531957e-11, 2.0692772e-11, 3.0000000e-10,  25.00000000,61
2.7676283e-11, 3.9619293e-11, 2.0682431e-11, 3.0500000e-10,  25.00000000,62
2.7681385e-11, 3.9687209e-11, 2.0671899e-11, 3.1000000e-10,  25.00000000,63
2.7684591e-11, 3.9743128e-11, 2.0660101e-11, 3.1500000e-10,  25.00000000,64
2.7674911e-11, 3.9795527e-11, 2.0642823e-11, 3.2000000e-10,  25.00000000,65
2.7650399e-11, 3.9841684e-11, 2.0642134e-11, 3.2500000e-10,  25.00000000,66
2.7632228e-11, 3.9893104e-11, 2.0647928e-11, 3.3000000e-10,  25.00000000,67
2.7551244e-11, 3.9952092e-11, 2.0385773e-11, 3.3500000e-10,  25.00000000,68
2.7534698e-11, 3.9998725e-11, 2.0364871e-11, 3.4000000e-10,  25.00000000,69
2.7520062e-11, 4.0047887e-11, 2.0348404e-11, 3.4500000e-10,  25.00000000,70
2.7507608e-11, 4.0101719e-11, 2.0336489e-11, 3.5000000e-10,  25.00000000,71
2.7497136e-11, 4.0148277e-11, 2.0329115e-11, 3.5500000e-10,  25.00000000,72
2.7488578e-11, 4.0188700e-11, 2.0326317e-11, 3.6000000e-10,  25.00000000,73
2.7758827e-11, 4.0221742e-11, 2.0451268e-11, 3.6500000e-10,  25.00000000,74
2.7729348e-11, 4.0242250e-11, 2.0429628e-11, 3.7000000e-10,  25.00000000,75
2.7692790e-11, 4.0273696e-11, 2.0437620e-11, 3.7500000e-10,  25.00000000,76
2.7664069e-11, 4.0307197e-11, 2.0453746e-11, 3.8000000e-10,  25.00000000,77
2.7642558e-11, 4.0329773e-11, 2.0478285e-11, 3.8500000e-10,  25.00000000,78
2.7472621e-11, 4.0343090e-11, 2.0320129e-11, 3.9000000e-10,  25.00000000,79
2.7474895e-11, 4.0362404e-11, 2.0244768e-11, 3.9500000e-10,  25.00000000,80
2.7478179e-11, 4.0378056e-11, 2.0171181e-11, 4.0000000e-10,  25.00000000,81
